"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0307-6938","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Dermatology (Print)","B2",2008
"1064-1963","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Hypertension (1993, Print)","B4",2008
"0009-9104","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Immunology (Print)","B1",2008
"1591-8890","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Medicine (Testo stampato)","B2",2008
"0390-6663","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Obstetrics & Gynecology","C ",2008
"0305-1870","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Pharmacology & Physiology","B2",2008
"0392-856X","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Experimental Rheumatology (Testo stampato)","B2",2008
"1556-6811","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Vaccine Immunology","B2",2008
"1556-679X","CIÊNCIAS BIOLÓGICAS II                            ","Clinical and Vaccine Immunology (Online)","B2",2008
"0009-9120","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Biochemistry","B2",2008
"1078-0432","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Cancer Research (Print)","A1",2008
"0009-9147","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Chemistry (Baltimore, Md.)","A1",2008
"1434-6621","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Chemistry and Laboratory Medicine","B2",2008
"0962-8827","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Dysmorphology","B4",2008
"0300-0664","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Endocrinology (Oxford. Print)","A2",2008
"0009-9163","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Genetics","B1",2008
"1521-6616","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Immunology (Orlando, Fla. Print)","A2",2008
"1058-4838","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Infectious Diseases","A1",2008
"1050-642X","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Journal of Sport Medicine (Print)","B2",2008
"1470-2118","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Medicine (London)","B3",2008
"1198-743X","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Microbiology and Infection (Print)","B1",2008
"0303-8467","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Neurology and Neurosurgery (Dutch-Flemish ed.)","B2",2008
"0722-5091","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Neuropathology","B4",2008
"0363-9762","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Nuclear Medicine","B1",2008
"0261-5614","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Nutrition (Edinburgh)","B1",2008
"0905-7161","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Oral Implants Research","B2",2008
"1432-6981","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Oral Investigations (Print)","B2",2008
"0009-9236","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Pharmacology and Therapeutics","A1",2008
"0770-3198","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Rheumatology (Printed)","B2",2008
"0143-5221","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Science (1979)","A2",2008
"0149-2918","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Therapeutics","A2",2008
"1556-3650","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Toxicology (Philadelphia, Pa. Print)","B2",2008
"0902-0063","CIÊNCIAS BIOLÓGICAS II                            ","Clinical Transplantation","B2",2008
"1807-5932","CIÊNCIAS BIOLÓGICAS II                            ","Clinics (USP. Impresso)","C ",2008
"1536-2302","CIÊNCIAS BIOLÓGICAS II                            ","Cloning and Stem Cells","B1",2008
"1092-8529","CIÊNCIAS BIOLÓGICAS II                            ","CNS Spectrums","B2",2008
"1981-4313","CIÊNCIAS BIOLÓGICAS II                            ","Coleção Pesquisa em Educação Física","C ",2008
"0303-402X","CIÊNCIAS BIOLÓGICAS II                            ","Colloid and Polymer Science (Print)","B2",2008
"0927-7757","CIÊNCIAS BIOLÓGICAS II                            ","Colloids and Surfaces. A, Physicochemical and Engineering Aspects (Print)","B2",2008
"0927-7765","CIÊNCIAS BIOLÓGICAS II                            ","Colloids and Surfaces. B, Biointerfaces (Print)","B2",2008
"0120-8322","CIÊNCIAS BIOLÓGICAS II                            ","Colombia Medica","C ",2008
"1462-8910","CIÊNCIAS BIOLÓGICAS II                            ","Colorectal Disease (Print)","B2",2008
"1386-2073","CIÊNCIAS BIOLÓGICAS II                            ","Combinatorial Chemistry & High Throughput Screening","B1",2008
"0301-5661","CIÊNCIAS BIOLÓGICAS II                            ","Community Dentistry and Oral Epidemiology","B2",2008
"1422-2795","CIÊNCIAS BIOLÓGICAS II                            ","Community Genetics (Cessou em 2008. Cont. ISSN 1662-4246 Public Health Genomics (Print))","B3",2008
"1096-4959","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Biochemistry and Physiology. B, Biochemistry & Molecular Biology (Cessou em 1999. Cont. Comparative Biochemistry and Physiology. Biochemistry & Molecular Biology (2000))","B2",2008
"1532-0456","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Biochemistry and Physiology. C. Toxicology & Pharmacology","B1",2008
"1095-6433","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Biochemistry and Physiology. Part A, Molecular & Integrative Physiology","B2",2008
"1744-117X","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Biochemistry and Physiology. Part D, Genomics & Proteomics","B2",2008
"1618-5641","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Clinical Pathology","C ",2008
"0147-9571","CIÊNCIAS BIOLÓGICAS II                            ","Comparative Immunology, Microbiology and Infectious Diseases","B4",2008
"0010-440X","CIÊNCIAS BIOLÓGICAS II                            ","Comprehensive Psychiatry (Print)","B2",2008
"1631-0691","CIÊNCIAS BIOLÓGICAS II                            ","Comptes Rendus. Biologies","B2",2008
"0169-2607","CIÊNCIAS BIOLÓGICAS II                            ","Computer Methods and Programs in Biomedicine (Print)","B4",2008
"0010-4655","CIÊNCIAS BIOLÓGICAS II                            ","Computer Physics Communications","B2",2008
"0098-3004","CIÊNCIAS BIOLÓGICAS II                            ","Computers & Geosciences","B4",2008
"0010-4825","CIÊNCIAS BIOLÓGICAS II                            ","Computers in Biology and Medicine","B3",2008
"1519-2938","CIÊNCIAS BIOLÓGICAS II                            ","Conduta Médica (Rio de Janeiro)","C ",2008
"1557-170X","CIÊNCIAS BIOLÓGICAS II                            ","Conference Proceedings (IEEE Engineering in Medicine and Biology Society. Conf.)","C ",2008
"0300-8207","CIÊNCIAS BIOLÓGICAS II                            ","Connective Tissue Research (Print)","B3",2008
"1383-4517","CIÊNCIAS BIOLÓGICAS II                            ","Contributions to Zoology (Print)","B3",2008
"0277-3740","CIÊNCIAS BIOLÓGICAS II                            ","Cornea","B2",2008
"0010-938X","CIÊNCIAS BIOLÓGICAS II                            ","Corrosion Science","B2",2008
"0886-9634","CIÊNCIAS BIOLÓGICAS II                            ","Cranio. Journal of Craniomandibular Practice","B4",2008
"1466-609X","CIÊNCIAS BIOLÓGICAS II                            ","Critical Care (London. Online)","A2",2008
"1364-8535","CIÊNCIAS BIOLÓGICAS II                            ","Critical Care (London. Print)","A2",2008
"0090-3493","CIÊNCIAS BIOLÓGICAS II                            ","Critical Care Medicine","A1",2008
"1518-7853","CIÊNCIAS BIOLÓGICAS II                            ","Crop Breeding and Applied Biotechnology (Impresso)","C ",2008
"0261-2194","CIÊNCIAS BIOLÓGICAS II                            ","Crop Protection","B3",2008
"0011-2240","CIÊNCIAS BIOLÓGICAS II                            ","Cryobiology (Print)","B2",2008
"1874-6098","CIÊNCIAS BIOLÓGICAS II                            ","Current Aging Science","C ",2008
"1567-2050","CIÊNCIAS BIOLÓGICAS II                            ","Current Alzheimer Research","A2",2008
"1573-403X","CIÊNCIAS BIOLÓGICAS II                            ","Current Cardiology Reviews","C ",2008
"1468-6694","CIÊNCIAS BIOLÓGICAS II                            ","Current Controlled Trials. Cardiovascular Medicine (Online) (Cessou em 2005. Cont. ISSN 1745-6215 Trials)","B1",2008
"1389-2002","CIÊNCIAS BIOLÓGICAS II                            ","Current Drug Metabolism","A2",2008
"1389-4501","CIÊNCIAS BIOLÓGICAS II                            ","Current Drug Targets (Print)","A2",2008
"1568-010X","CIÊNCIAS BIOLÓGICAS II                            ","Current Drug Targets. Inflammation & Allergy","C ",2008
"1574-8855","CIÊNCIAS BIOLÓGICAS II                            ","Current Drug Therapy","C ",2008
"0271-3683","CIÊNCIAS BIOLÓGICAS II                            ","Current Eye Research (Print)","B2",2008
"0172-8083","CIÊNCIAS BIOLÓGICAS II                            ","Current Genetics","B1",2008
"1570-162X","CIÊNCIAS BIOLÓGICAS II                            ","Current HIV Research (Print)","B1",2008
"1522-6417","CIÊNCIAS BIOLÓGICAS II                            ","Current Hypertension Reports (Print)","B2",2008
"1523-3847","CIÊNCIAS BIOLÓGICAS II                            ","Current Infectious Disease Reports (Print)","C ",2008
"0300-7995","CIÊNCIAS BIOLÓGICAS II                            ","Current Medical Research and Opinion","B1",2008
"0929-8673","CIÊNCIAS BIOLÓGICAS II                            ","Current Medicinal Chemistry","A1",2008
"0343-8651","CIÊNCIAS BIOLÓGICAS II                            ","Current Microbiology (Print)","B2",2008
"1567-2026","CIÊNCIAS BIOLÓGICAS II                            ","Current Neurovascular Research","B1",2008
"0268-4705","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Cardiology","B1",2008
"1363-1950","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Clinical Nutrition and Metabolic Care","B1",2008
"1070-5295","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Critical Care","A2",2008
"0951-7375","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Infectious Diseases","A1",2008
"1464-8431","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Molecular Therapeutics (Cessou em 2007. Cont. ISSN 2040-3445 Current Opinion in Molecular Therapeutics)","B1",2008
"1062-4821","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Nephrology and Hypertension","A2",2008
"1040-8746","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Oncology","A2",2008
"0959-440X","CIÊNCIAS BIOLÓGICAS II                            ","Current Opinion in Structural Biology","A1",2008
"1385-2728","CIÊNCIAS BIOLÓGICAS II                            ","Current Organic Chemistry","A2",2008
"1381-6128","CIÊNCIAS BIOLÓGICAS II                            ","Current Pharmaceutical Design (Print)","A1",2008
"1389-2037","CIÊNCIAS BIOLÓGICAS II                            ","Current Protein and Peptide Science","A2",2008
"1568-0266","CIÊNCIAS BIOLÓGICAS II                            ","Current Topics in Medicinal Chemistry (Print)","A2",2008
"0399-0974","CIÊNCIAS BIOLÓGICAS II                            ","Cybium (Paris)","B4",2008
"1359-6101","CIÊNCIAS BIOLÓGICAS II                            ","Cytokine & Growth Factor Reviews","A1",2008
"1043-4666","CIÊNCIAS BIOLÓGICAS II                            ","Cytokine (Philadelphia) (Cessou em 2000. Cont. Cytokine+)","B2",2008
"1552-4922","CIÊNCIAS BIOLÓGICAS II                            ","Cytometry. Part A","B1",2008
"0920-9069","CIÊNCIAS BIOLÓGICAS II                            ","Cytotechnology (Dordrecht)","B4",2008
"1477-9226","CIÊNCIAS BIOLÓGICAS II                            ","Dalton Transactions (2003. Print)","B1",2008
"0967-0637","CIÊNCIAS BIOLÓGICAS II                            ","Deep-Sea Research. Part 1. Oceanographic Research Papers","B2",2008
"0109-5641","CIÊNCIAS BIOLÓGICAS II                            ","Dental Materials","B1",2008
"0250-832X","CIÊNCIAS BIOLÓGICAS II                            ","Dento-Maxillo-Facial Radiology","B4",2008
"1091-4269","CIÊNCIAS BIOLÓGICAS II                            ","Depression and Anxiety (Print)","B2",2008
"0950-1991","CIÊNCIAS BIOLÓGICAS II                            ","Development (Cambridge)","A1",2008
"0949-944X","CIÊNCIAS BIOLÓGICAS II                            ","Development, Genes and Evolution (Print)","B2",2008
"0145-305X","CIÊNCIAS BIOLÓGICAS II                            ","Developmental and Comparative Immunology","B1",2008
"0165-3806","CIÊNCIAS BIOLÓGICAS II                            ","Developmental Brain Research (Cessou em 2005)","B2",2008
"1058-8388","CIÊNCIAS BIOLÓGICAS II                            ","Developmental Dynamics","B1",2008
"0012-1622","CIÊNCIAS BIOLÓGICAS II                            ","Developmental Medicine and Child Neurology (Print)","B1",2008
"1932-8451","CIÊNCIAS BIOLÓGICAS II                            ","Developmental Neurobiology (Hoboken, N.J.)","B1",2008
"0012-1630","CIÊNCIAS BIOLÓGICAS II                            ","Developmental Psychobiology (Print)","B2",2008
"1262-3636","CIÊNCIAS BIOLÓGICAS II                            ","Diabetes & Metabolism","B2",2008
"0012-1797","CIÊNCIAS BIOLÓGICAS II                            ","Diabetes (New York, N.Y.)","A1",2008
"0168-8227","CIÊNCIAS BIOLÓGICAS II                            ","Diabetes Research and Clinical Practice (Print)","B2",2008
"1462-8902","CIÊNCIAS BIOLÓGICAS II                            ","Diabetes, Obesity and Metabolism (Print)","A2",2008
"0012-186X","CIÊNCIAS BIOLÓGICAS II                            ","Diabetologia (Berlin)","A1",2008
"8755-1039","CIÊNCIAS BIOLÓGICAS II                            ","Diagnostic Cytopathology (Print)","B4",2008
"0732-8893","CIÊNCIAS BIOLÓGICAS II                            ","Diagnostic Microbiology and Infectious Disease","B1",2008
"1052-9551","CIÊNCIAS BIOLÓGICAS II                            ","Diagnostic Molecular Pathology (Print)","B2",2008
"1982-2197","CIÊNCIAS BIOLÓGICAS II                            ","Diálogos & Ciência (FTC Feira de Santana. Impresso)","C ",2008
"0031-7144","CIÊNCIAS BIOLÓGICAS II                            ","Die Pharmazie (Berlin)","B4",2008
"1590-8658","CIÊNCIAS BIOLÓGICAS II                            ","Digestive and Liver Disease","B1",2008
"0257-2753","CIÊNCIAS BIOLÓGICAS II                            ","Digestive Diseases (Basel)","B3",2008
"0163-2116","CIÊNCIAS BIOLÓGICAS II                            ","Digestive Diseases and Sciences","B3",2008
"0278-0240","CIÊNCIAS BIOLÓGICAS II                            ","Disease Markers (Print)","B2",2008
"0177-5103","CIÊNCIAS BIOLÓGICAS II                            ","Diseases of Aquatic Organisms","B2",2008
"0012-3706","CIÊNCIAS BIOLÓGICAS II                            ","Diseases of the Colon & Rectum","B1",2008
"1568-7864","CIÊNCIAS BIOLÓGICAS II                            ","DNA Repair (Print)","A2",2008
"0148-0545","CIÊNCIAS BIOLÓGICAS II                            ","Drug and Chemical Toxicology (New York, N.Y. 1978)","B3",2008
"1071-7544","CIÊNCIAS BIOLÓGICAS II                            ","Drug Delivery","B2",2008
"0272-4391","CIÊNCIAS BIOLÓGICAS II                            ","Drug Development Research (Print)","B4",2008
"1359-6446","CIÊNCIAS BIOLÓGICAS II                            ","Drug Discovery Today","A1",2008
"0377-8282","CIÊNCIAS BIOLÓGICAS II                            ","Drugs of the Future","B4",2008
"0143-7208","CIÊNCIAS BIOLÓGICAS II                            ","Dyes and Pigments","B2",2008
"0179-051X","CIÊNCIAS BIOLÓGICAS II                            ","Dysphagia (New York. Print)","B3",2008
"1618-7229","CIÊNCIAS BIOLÓGICAS II                            ","E-Polymers","B4",2008
"0378-3782","CIÊNCIAS BIOLÓGICAS II                            ","Early Human Development","B2",2008
"0100-4670","CIÊNCIAS BIOLÓGICAS II                            ","Eclética Química (UNESP. Araraquara. Impresso)","C ",2008
"0304-3800","CIÊNCIAS BIOLÓGICAS II                            ","Ecological Modelling","B2",2008
"0012-9615","CIÊNCIAS BIOLÓGICAS II                            ","Ecological Monographs","A1",2008
"0963-9292","CIÊNCIAS BIOLÓGICAS II                            ","Ecotoxicology (London)","B1",2008
"0147-6513","CIÊNCIAS BIOLÓGICAS II                            ","Ecotoxicology and Environmental Safety","B2",2008
"1168-7223","CIÊNCIAS BIOLÓGICAS II                            ","Einstein (Troyes) (Cessou em 2003)","C ",2008
"1167-1122","CIÊNCIAS BIOLÓGICAS II                            ","EJD. European Journal of Dermatology","B3",2008
"1040-0397","CIÊNCIAS BIOLÓGICAS II                            ","Electroanalysis (New York, N.Y.)","B1",2008
"0013-4686","CIÊNCIAS BIOLÓGICAS II                            ","Electrochimica Acta","B1",2008
"1851-7595","CIÊNCIAS BIOLÓGICAS II                            ","Electrofisiología & Arritmias","C ",2008
"0301-150X","CIÊNCIAS BIOLÓGICAS II                            ","Electromyography and Clinical Neurophysiology","C ",2008
"0717-3458","CIÊNCIAS BIOLÓGICAS II                            ","Electronic Journal of Biotechnology","B4",2008
"0173-0835","CIÊNCIAS BIOLÓGICAS II                            ","Electrophoresis (Weinheim. Print)","A2",2008
"0261-4189","CIÊNCIAS BIOLÓGICAS II                            ","EMBO Journal (Print)","A1",2008
"1469-221X","CIÊNCIAS BIOLÓGICAS II                            ","EMBO Reports (Print)","A1",2008
"1080-6059","CIÊNCIAS BIOLÓGICAS II                            ","Emerging Infectious Diseases (Online)","A1",2008
"1080-6040","CIÊNCIAS BIOLÓGICAS II                            ","Emerging Infectious Diseases (Print)","A1",2008
"0969-711X","CIÊNCIAS BIOLÓGICAS II                            ","Endocrine Journal (Basingstoke) (Cessou em 1994. Cont. ISSN 1355-008X Endocrine (Basingstoke))","B1",2008
"0918-8959","CIÊNCIAS BIOLÓGICAS II                            ","Endocrine Journal (Tokyo)","B2",2008
"0743-5800","CIÊNCIAS BIOLÓGICAS II                            ","Endocrine Research","B4",2008
"1871-5303","CIÊNCIAS BIOLÓGICAS II                            ","Endocrine, Metabolic and Immune Disorders. Drug Targets","C ",2008
"1351-0088","CIÊNCIAS BIOLÓGICAS II                            ","Endocrine-Related Cancer","A1",2008
"0013-7227","CIÊNCIAS BIOLÓGICAS II                            ","Endocrinology (Philadelphia)","A1",2008
"1062-3329","CIÊNCIAS BIOLÓGICAS II                            ","Endothelium (Philadelphia. Print)","B2",2008
"0013-8703","CIÊNCIAS BIOLÓGICAS II                            ","Entomologia Experimentalis et Applicata (Print)","B3",2008
"0160-4120","CIÊNCIAS BIOLÓGICAS II                            ","Environment International","B1",2008
"0098-8472","CIÊNCIAS BIOLÓGICAS II                            ","Environmental and Experimental Botany","B2",2008
"0378-1909","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Biology of Fishes","B3",2008
"1092-8758","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Engineering Science","B4",2008
"1462-2912","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Microbiology (Print)","A1",2008
"0167-6369","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Monitoring and Assessment (Print)","B4",2008
"0269-7491","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Pollution (1987)","B1",2008
"1566-0745","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Pollution (London)","C ",2008
"0013-9351","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Research (New York, N.Y. Print)","B1",2008
"0013-936X","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Science & Technology","A2",2008
"0944-1344","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Science and Pollution Research International","A2",2008
"0959-3330","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Technology","B4",2008
"1520-4081","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Toxicology (Print)","B2",2008
"0730-7268","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Toxicology and Chemistry","B1",2008
"1382-6689","CIÊNCIAS BIOLÓGICAS II                            ","Environmental Toxicology and Pharmacology","B3",2008
"0141-0229","CIÊNCIAS BIOLÓGICAS II                            ","Enzyme and Microbial Technology","B2",2008
"1679-4974","CIÊNCIAS BIOLÓGICAS II                            ","Epidemiologia e Serviços de Saúde","C ",2008
"0950-2688","CIÊNCIAS BIOLÓGICAS II                            ","Epidemiology and Infection (Print)","B2",2008
"0013-9580","CIÊNCIAS BIOLÓGICAS II                            ","Epilepsia (Copenhagen)","A2",2008
"1525-5050","CIÊNCIAS BIOLÓGICAS II                            ","Epilepsy & Behavior (Print)","B2",2008
"0920-1211","CIÊNCIAS BIOLÓGICAS II                            ","Epilepsy Research","B1",2008
"1516-9375","CIÊNCIAS BIOLÓGICAS II                            ","Espaço e Geografia (UnB)","C ",2008
"1535-9778","CIÊNCIAS BIOLÓGICAS II                            ","Eukaryotic Cell","A2",2008
"1535-9786","CIÊNCIAS BIOLÓGICAS II                            ","Eukaryotic Cell (Online)","A2",2008
"0014-2336","CIÊNCIAS BIOLÓGICAS II                            ","Euphytica (Wageningen)","B3",2008
"1099-5129","CIÊNCIAS BIOLÓGICAS II                            ","Europace (London, England)","B2",2008
"0937-4477","CIÊNCIAS BIOLÓGICAS II                            ","European Archives of Oto-Rhino-Laryngology","B4",2008
"0940-1334","CIÊNCIAS BIOLÓGICAS II                            ","European Archives of Psychiatry and Clinical Neuroscience","B1",2008
"0175-7571","CIÊNCIAS BIOLÓGICAS II                            ","European Biophysics Journal","B2",2008
"1018-8827","CIÊNCIAS BIOLÓGICAS II                            ","European Child & Adolescent Psychiatry","C ",2008
"1438-2377","CIÊNCIAS BIOLÓGICAS II                            ","European Food Research & Technology (Print)","B3",2008
"1439-6319","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Applied Physiology (Print)","B2",2008
"1359-6349","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Cancer. Supplement (1990)","B1",2008
"0014-2972","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Clinical Investigation (Print)","B1",2008
"0934-9723","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Clinical Microbiology & Infectious Diseases (Print)","B1",2008
"0031-6970","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Clinical Pharmacology","B2",2008
"0804-4643","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Endocrinology","B2",2008
"0954-691X","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Gastroenterology & Hepatology","B2",2008
"0902-4441","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Haematology","B2",2008
"1388-9842","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Heart Failure","B1",2008
"1121-760X","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Histochemistry","B3",2008
"1018-4813","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Human Genetics","A2",2008
"0014-2980","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Immunology","A2",2008
"1469-0667","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Mass Spectrometry","B3",2008
"1769-7212","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Medical Genetics","B2",2008
"0223-5234","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Medicinal Chemistry","B2",2008
"1351-5101","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Neurology (Print)","B1",2008
"0953-816X","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Neuroscience (Print)","A2",2008
"1436-6207","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Nutrition (Print)","B2",2008
"0301-2115","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Obstetrics, Gynecology, and Reproductive Biology","B2",2008
"0909-8836","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Oral Sciences","B2",2008
"1434-193X","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Organic Chemistry (Print)","B1",2008
"1090-3801","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Pain (London, England)","A2",2008
"0340-6199","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Pediatrics","B2",2008
"0928-0987","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Pharmaceutical Sciences","B1",2008
"0939-6411","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Pharmaceutics and Biopharmaceutics","B1",2008
"0014-2999","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Pharmacology","B1",2008
"0720-048X","CIÊNCIAS BIOLÓGICAS II                            ","European Journal of Radiology","B2",2008
"0014-3022","CIÊNCIAS BIOLÓGICAS II                            ","European Neurology","B3",2008
"0924-977X","CIÊNCIAS BIOLÓGICAS II                            ","European Neuropsychopharmacology","A2",2008
"0924-9338","CIÊNCIAS BIOLÓGICAS II                            ","European Psychiatry (Paris)","B1",2008
"0940-6719","CIÊNCIAS BIOLÓGICAS II                            ","European Spine Journal (Print)","B2",2008
"0302-2838","CIÊNCIAS BIOLÓGICAS II                            ","European Urology","A1",2008
"1741-4288","CIÊNCIAS BIOLÓGICAS II                            ","Evidence-Based Complementary and Alternative Medicine (Online)","B1",2008
"1741-427X","CIÊNCIAS BIOLÓGICAS II                            ","Evidence-Based Complementary and Alternative Medicine (Print)","B1",2008
"0168-8162","CIÊNCIAS BIOLÓGICAS II                            ","Experimental & Applied Acarology","B3",2008
"0947-7349","CIÊNCIAS BIOLÓGICAS II                            ","Experimental and Clinical Endocrinology & Diabetes","B2",2008
"0014-4800","CIÊNCIAS BIOLÓGICAS II                            ","Experimental and Molecular Pathology (Print)","B2",2008
"0940-2993","CIÊNCIAS BIOLÓGICAS II                            ","Experimental and Toxicologic Pathology (Print)","B3",2008
"1535-3702","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Biology and Medicine (Maywood, N.J.: Print)","B2",2008
"0014-4819","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Brain Research","B2",2008
"0014-4827","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Cell Research","A2",2008
"0014-4835","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Eye Research","B1",2008
"0531-5565","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Gerontology","B1",2008
"0301-472X","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Hematology","B1",2008
"0190-2148","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Lung Research","B2",2008
"0014-4886","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Neurology","A2",2008
"0531-559X","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Neurology. Supplement","C ",2008
"0014-4894","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Parasitology","B2",2008
"1090-2449","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Parasitology (Online)","B2",2008
"0958-0670","CIÊNCIAS BIOLÓGICAS II                            ","Experimental Physiology (Print)","B1",2008
"1471-2598","CIÊNCIAS BIOLÓGICAS II                            ","Expert Opinion on Biological Therapy","B1",2008
"1354-3784","CIÊNCIAS BIOLÓGICAS II                            ","Expert Opinion on Investigational Drugs (Cessou em 1995)","A2",2008
"1354-3776","CIÊNCIAS BIOLÓGICAS II                            ","Expert Opinion on Therapeutic Patents","B2",2008
"1477-9072","CIÊNCIAS BIOLÓGICAS II                            ","Expert Review of Cardiovascular Therapy","C ",2008
"1743-4440","CIÊNCIAS BIOLÓGICAS II                            ","Expert Review of Medical Devices (Print)","B2",2008
"1478-9450","CIÊNCIAS BIOLÓGICAS II                            ","Expert Review of Proteomics (Print)","A2",2008
"1476-0584","CIÊNCIAS BIOLÓGICAS II                            ","Expert Review of Vaccines","B1",2008
"1431-0651","CIÊNCIAS BIOLÓGICAS II                            ","Extremophiles (Tokyo. Print)","B2",2008
"0950-222X","CIÊNCIAS BIOLÓGICAS II                            ","Eye (London. 1987)","B2",2008
"0014-5793","CIÊNCIAS BIOLÓGICAS II                            ","FEBS Letters (Print)","A2",2008
"0100-7254","CIÊNCIAS BIOLÓGICAS II                            ","Femina (Rio de Janeiro)","C ",2008
"0928-8244","CIÊNCIAS BIOLÓGICAS II                            ","FEMS Immunology and Medical Microbiology (Print)","B2",2008
