"1950-196X","SOCIOLOGIA                                        ","2050 / Deux Mille Cinquante","C ",2008
"1415-9902","SOCIOLOGIA                                        ","Educação & Linguagem","B4",2008
"0101-7330","SOCIOLOGIA                                        ","Educação & Sociedade (Impresso)","B1",2008
"1415-5486","SOCIOLOGIA                                        ","Educação (São Paulo)","C ",2008
"1517-9702","SOCIOLOGIA                                        ","Educação e Pesquisa (USP. Impresso)","B1",2008
"0104-3293","SOCIOLOGIA                                        ","Educação em Foco (Juiz de Fora)","B4",2008
"0102-4698","SOCIOLOGIA                                        ","Educação em Revista (UFMG. Impresso)","B2",2008
"1519-387X","SOCIOLOGIA                                        ","Educação Unisinos","B4",2008
"0104-4060","SOCIOLOGIA                                        ","Educar em Revista (Impresso)","B2",2008
"1808-6454","SOCIOLOGIA                                        ","Educare (Montes Claros)","C ",2008
"1809-5208","SOCIOLOGIA                                        ","Educere et Educare (Impresso)","C ",2008
"1677-2415","SOCIOLOGIA                                        ","Eisforia (UFSC)","B5",2008
"1809-0842","SOCIOLOGIA                                        ","Em Debate (PUCRJ. Online)","B4",2008
"1980-3532","SOCIOLOGIA                                        ","Em Debate (UFSC. Online)","C ",2008
"1414-8609","SOCIOLOGIA                                        ","Em Pauta (Rio De Janeiro)","B4",2008
"1806-5023","SOCIOLOGIA                                        ","Em Tese (Florianópolis)","B5",2008
"1519-7611","SOCIOLOGIA                                        ","Emancipação (UEPG. Impresso)","B5",2008
"1518-2924","SOCIOLOGIA                                        ","Encontros Bibli","B3",2008
"1519-339X","SOCIOLOGIA                                        ","Enfermagem Atual (Rio de Janeiro)","B5",2008
"1678-2410","SOCIOLOGIA                                        ","Enfermagem Brasil","C ",2008
"1695-6141","SOCIOLOGIA                                        ","Enfermería Global","B4",2008
"0214-0128","SOCIOLOGIA                                        ","Enfermería Integral","C ",2008
"0104-4036","SOCIOLOGIA                                        ","Ensaio (Fundação Cesgranrio. Impresso)","B1",2008
"0101-1723","SOCIOLOGIA                                        ","Ensaios FEE (Impresso)","B4",2008
"1808-1010","SOCIOLOGIA                                        ","Entrelivros (São Paulo)","C ",2008
"0956-2478","SOCIOLOGIA                                        ","Environment and Urbanization","B1",2008
"1569-3430","SOCIOLOGIA                                        ","Environmental Sciences (Lisse. Print)","A2",2008
"1044-3983","SOCIOLOGIA                                        ","Epidemiology (Cambridge, Mass., Print)","A1",2008
"0874-0437","SOCIOLOGIA                                        ","Episteme (Lisboa)","C ",2008
"1413-5736","SOCIOLOGIA                                        ","Episteme (Porto Alegre)","B3",2008
"1980-2005","SOCIOLOGIA                                        ","Epistemo-Somática (Impresso)","C ",2008
"1518-2487","SOCIOLOGIA                                        ","Eptic (UFS)","B4",2008
"1980-833X","SOCIOLOGIA                                        ","ESAC. Economia Solidária e Ação Cooperativa (UNISINOS)","C ",2008
"1414-722X","SOCIOLOGIA                                        ","Esboços (UFSC)","B3",2008
"1414-8145","SOCIOLOGIA                                        ","Escola Anna Nery","B3",2008
"0014-0481","SOCIOLOGIA                                        ","Espaces et Sociétés","B1",2008
"1315-0006","SOCIOLOGIA                                        ","Espacio Abierto (Caracas. 1992)","A2",2008
"0101-5621","SOCIOLOGIA                                        ","Espaço & Debates","B3",2008
"1982-6524","SOCIOLOGIA                                        ","Espaço Ameríndio (UFRGS)","B2",2008
"1413-3342","SOCIOLOGIA                                        ","Espaço e Cultura (UERJ)","B2",2008
"1518-4196","SOCIOLOGIA                                        ","Espaço Plural (Unioeste)","C ",2008
"1517-5081","SOCIOLOGIA                                        ","Especiaria (UESC)","C ",2008
"1678-1643","SOCIOLOGIA                                        ","Espiral (São Paulo)","B5",2008
"1809-1296","SOCIOLOGIA                                        ","Esporte e Sociedade","C ",2008
"1516-6406","SOCIOLOGIA                                        ","Essentia (Sobral/CE)","C ",2008
"1809-046X","SOCIOLOGIA                                        ","Estação Científica (FESJF. Online)","B5",2008
"1518-7349","SOCIOLOGIA                                        ","Estratégia (São Paulo)","C ",2008
"0718-5014","SOCIOLOGIA                                        ","Estudios Avanzados (En línea)","B2",2008
"0718-4999","SOCIOLOGIA                                        ","Estudios Avanzados Interactivos (Cessou em 2006. Cont. ISSN 0718-5022 Estudios Avanzados (Imprensa))","B2",2008
"0137-3080","SOCIOLOGIA                                        ","Estudios Latinoamericanos","B2",2008
"0326-7458","SOCIOLOGIA                                        ","Estudios Migratorios Latinoamericanos","B2",2008
"0327-4934","SOCIOLOGIA                                        ","Estudios Sociales (Santa Fe)","B5",2008
"0188-4557","SOCIOLOGIA                                        ","Estudios Sociales - Centro de Investigaciones Económicas y Sociales de la Universidad de Sonora","B5",2008
"0185-4186","SOCIOLOGIA                                        ","Estudios Sociológicos","A1",2008
"0103-0876","SOCIOLOGIA                                        ","Estudos (UCGO. Impresso)","B5",2008
"0101-546X","SOCIOLOGIA                                        ","Estudos Afro-Asiáticos (UCAM. Impresso)","B1",2008
"0103-4014","SOCIOLOGIA                                        ","Estudos Avançados (USP. Impresso)","B1",2008
"1518-0158","SOCIOLOGIA                                        ","Estudos de Literatura Brasileira Contemporânea","B4",2008
"0103-801X","SOCIOLOGIA                                        ","Estudos de Religiao (IMS)","B4",2008
"1415-000X","SOCIOLOGIA                                        ","Estudos de Sociologia (Recife)","B2",2008
"1414-0144","SOCIOLOGIA                                        ","Estudos de Sociologia (São Paulo)","B2",2008
"1413-4128","SOCIOLOGIA                                        ","Estudos do CEPE (UNISC)","B5",2008
"1982-9884","SOCIOLOGIA                                        ","Estudos do Trabalho","B4",2008
"0101-4161","SOCIOLOGIA                                        ","Estudos Econômicos (USP. Impresso)","B1",2008
"1806-6496","SOCIOLOGIA                                        ","Estudos em Jornalismo e Mídia (UFSC)","B5",2008
"0103-2186","SOCIOLOGIA                                        ","Estudos Historicos (Rio de Janeiro)","B2",2008
"1517-2473","SOCIOLOGIA                                        ","Estudos Interdisciplinares sobre o Envelhecimento","B3",2008
"1645-2453","SOCIOLOGIA                                        ","Estudos Património","B4",2008
"1413-0580","SOCIOLOGIA                                        ","Estudos Sociedade e Agricultura (UFRJ)","B2",2008
"1676-2592","SOCIOLOGIA                                        ","ETD : Educação Temática Digital","B5",2008
"1961-9162","SOCIOLOGIA                                        ","Ethnographiques.Org","B1",2008
"0014-1844","SOCIOLOGIA                                        ","Ethnos (Stockholm)","A2",2008
"0873-6561","SOCIOLOGIA                                        ","Etnográfica (Lisboa)","A1",2008
"0014-2182","SOCIOLOGIA                                        ","Etudes Rurales","A2",2008
"1828-0692","SOCIOLOGIA                                        ","EURASIA. Rivista di Studi Geopolitici","B5",2008
"0250-7161","SOCIOLOGIA                                        ","EURE (Santiago. Impresa)","B1",2008
"1368-4310","SOCIOLOGIA                                        ","European Journal of Social Theory","A2",2008
"1980-6434","SOCIOLOGIA                                        ","Evocati Revista","C ",2008
"1414-4190","SOCIOLOGIA                                        ","Expressa Extensão (UFPel)","C ",2008
"1677-9037","SOCIOLOGIA                                        ","Extensão e Cultura (UFG)","C ",2008
"1982-4432","SOCIOLOGIA                                        ","Extensão em Foco (Curitiba)","C ",2008
"1806-7425","SOCIOLOGIA                                        ","Extensão em Rede (Blumenau)","C ",2008
"1807-2429","SOCIOLOGIA                                        ","Extensão Rural e Desenvolvimento Sustentável","C ",2008
"1807-0221","SOCIOLOGIA                                        ","Extensio (Florianópolis)","C ",2008
"0718-2023","SOCIOLOGIA                                        ","F@ro (Valparaíso. Impresa)","C ",2008
"1676-0573","SOCIOLOGIA                                        ","Face em Revista (Cessou em 2006. Cont. ISSN 1981-9293 Uniuv em Revista)","C ",2008
"1677-0439","SOCIOLOGIA                                        ","Faz Ciência (UNIOESTE. Impresso)","B5",2008
"1806-5392","SOCIOLOGIA                                        ","Fênix (UFPE. Edição em português)","C ",2008
"1807-6971","SOCIOLOGIA                                        ","Fênix (UFU. Online)","C ",2008
"1743-0615","SOCIOLOGIA                                        ","Fieldwork in Religion (Print)","B2",2008
"1519-5023","SOCIOLOGIA                                        ","Filosofia Unisinos (Impresso)","B4",2008
"1518-9740","SOCIOLOGIA                                        ","Fisioterapia Brasil","C ",2008
"0015-704X","SOCIOLOGIA                                        ","Fordham Law Review","A2",2008
"1517-543X","SOCIOLOGIA                                        ","Formação (Presidente Prudente)","B4",2008
"1718-8237","SOCIOLOGIA                                        ","Formation et Profession (Sainte-Foy)","C ",2008
"1413-6619","SOCIOLOGIA                                        ","Forum (São Paulo. 1996)","C ",2008
"1519-8952","SOCIOLOGIA                                        ","Fórum (São Paulo. 2001)","B5",2008
"1980-0827","SOCIOLOGIA                                        ","Fórum Ambiental da Alta Paulista","C ",2008
"1676-6962","SOCIOLOGIA                                        ","Fórum de Direito Urbano e Ambiental (Impresso)","C ",2008
"1414-9494","SOCIOLOGIA                                        ","Fragmentos de Cultura (Goiânia)","C ",2008
"1515-4467","SOCIOLOGIA                                        ","Fundamentos en Humanidades (San Luis)","B4",2008
"0016-3287","SOCIOLOGIA                                        ","Futures (London)","A2",2008
"1981-1268","SOCIOLOGIA                                        ","Gaia Scientia (UFPB)","B4",2008
"1519-311X","SOCIOLOGIA                                        ","Galáxia (PUCSP)","B4",2008
"1573-0700","SOCIOLOGIA                                        ","Gastronomic Science","C ",2008
"0016-545X","SOCIOLOGIA                                        ","Gazeta Medica da Bahia","C ",2008
"1517-9699","SOCIOLOGIA                                        ","Gênero (Niterói)","B5",2008
"1415-7543","SOCIOLOGIA                                        ","Geo UERJ (Cessou em 2004. Cont. ISSN 1981-9021 Geo UERJ (2007))","B3",2008
"1980-1181","SOCIOLOGIA                                        ","Geografando (Ufpel)","C ",2008
"0102-3888","SOCIOLOGIA                                        ","Geografia (Londrina)","B5",2008
"0100-7912","SOCIOLOGIA                                        ","Geografia (Rio Claro. Impresso)","B2",2008
"1519-8367","SOCIOLOGIA                                        ","Geografia em Atos (UNESP. Impresso)","B4",2008
"1517-7793","SOCIOLOGIA                                        ","GEOgraphia (UFF)","B2",2008
"1980-8097","SOCIOLOGIA                                        ","Geomática (Santa Maria. Online)","C ",2008
"1518-6059","SOCIOLOGIA                                        ","Geonordeste (UFS)","B4",2008
"0103-3964","SOCIOLOGIA                                        ","Geosul (UFSC)","B2",2008
"1414-7416","SOCIOLOGIA                                        ","Geousp (USP)","B2",2008
"1677-4841","SOCIOLOGIA                                        ","Gerenciamento Costeiro Integrado","C ",2008
"1807-5436","SOCIOLOGIA                                        ","Gestão e Desenvolvimento (FEEVALE)","C ",2008
"1981-8017","SOCIOLOGIA                                        ","Gestão Pública (Belém)","C ",2008
"1679-1827","SOCIOLOGIA                                        ","Gestão.Org","B5",2008
"1806-3780","SOCIOLOGIA                                        ","Gestare (Sete Lagoas)","C ",2008
"0367-505X","SOCIOLOGIA                                        ","Granja (Porto Alegre)","B5",2008
"1516-1536","SOCIOLOGIA                                        ","Graphos (João Pessoa)","B5",2008
"1414-0268","SOCIOLOGIA                                        ","Grifos (UNOESC)","C ",2008
"1667-3832","SOCIOLOGIA                                        ","Grumo (Buenos Aires)","B4",2008
"1807-4561","SOCIOLOGIA                                        ","Guanicuns","C ",2008
"1002-4913","SOCIOLOGIA                                        ","Guoji Shehui Kexue Zazhi","B3",2008
"1678-6475","SOCIOLOGIA                                        ","Habitus (UCG. Impresso)","B2",2008
"0329-6121","SOCIOLOGIA                                        ","Herramienta (Buenos Aires)","B3",2008
"0101-9171","SOCIOLOGIA                                        ","Higiene Alimentar","C ",2008
"1468-2737","SOCIOLOGIA                                        ","Hispanic Research Journal","A2",2008
"1676-904X","SOCIOLOGIA                                        ","Hispanista (Edição em Português)","C ",2008
"0103-409X","SOCIOLOGIA                                        ","Historia & Perspectivas (UFU)","B4",2008
"1807-1783","SOCIOLOGIA                                        ","História e-História","B4",2008
"1519-3314","SOCIOLOGIA                                        ","História Econômica & História de Empresas","B2",2008
"1516-2095","SOCIOLOGIA                                        ","História em Revista (UFPel)","B5",2008
"1516-7658","SOCIOLOGIA                                        ","História Oral (Rio de Janeiro)","B2",2008
"1414-6312","SOCIOLOGIA                                        ","História Revista (UFG. Impresso)","B3",2008
"1519-3861","SOCIOLOGIA                                        ","História Unisinos","B2",2008
"0104-5970","SOCIOLOGIA                                        ","História, Ciências, Saúde-Manguinhos (Impresso)","A2",2008
"1808-9895","SOCIOLOGIA                                        ","História, Imagem e Narrativas","B5",2008
"0100-6932","SOCIOLOGIA                                        ","História. Questões e Debates","B2",2008
"1517-2856","SOCIOLOGIA                                        ","História: Debates e Tendências (Passo Fundo)","B3",2008
"1808-6284","SOCIOLOGIA                                        ","Histórica (São Paulo. Online)","B5",2008
"0890-9997","SOCIOLOGIA                                        ","Historical Studies in the Physical and Biological Sciences (Cessou em 2007. Cont. ISSN 1939-1811 Historical Studies in the Natural Sciences)","B1",2008
"0223-3290","SOCIOLOGIA                                        ","Hommes et Migrations. Documents (Cessou em1986. Cont. ISSN 1142-852X Hommes & Migrations (1987))","B1",2008
"1808-3064","SOCIOLOGIA                                        ","Horizonte Científico (Uberlândia)","C ",2008
"1677-440X","SOCIOLOGIA                                        ","Horizonte Teológico","C ",2008
"0104-7183","SOCIOLOGIA                                        ","Horizontes Antropológicos (UFRGS. Impresso)","A1",2008
"1809-1628","SOCIOLOGIA                                        ","Humanidades & Tecnologia em Revista (FINOM)","C ",2008
"0102-9479","SOCIOLOGIA                                        ","Humanidades (Brasília)","B4",2008
"1516-974X","SOCIOLOGIA                                        ","Humanidades e Ciências Sociais (UECE)","B5",2008
"1519-3446","SOCIOLOGIA                                        ","Humanitas (PUCCAMP)","B4",2008
"0104-9585","SOCIOLOGIA                                        ","Humanitas (UFPA)","B5",2008
"0018-7615","SOCIOLOGIA                                        ","Humboldt (Spanische Ausg.)","A2",2008
"1970-867X","SOCIOLOGIA                                        ","I Quaderni del CREAM","B3",2008
"1577-3388","SOCIOLOGIA                                        ","Iberoamericana (Madrid)","B1",2008
"1390-1249","SOCIOLOGIA                                        ","Íconos (Quito)","B5",2008
"1676-9414","SOCIOLOGIA                                        ","Idade Mídia","C ",2008
"0101-3106","SOCIOLOGIA                                        ","Ide (São Paulo. Impresso)","B2",2008
"1415-4668","SOCIOLOGIA                                        ","Ideação (UEFS)","C ",2008
"1518-6911","SOCIOLOGIA                                        ","Ideação (Unioeste. Impresso)","C ",2008
"1677-4957","SOCIOLOGIA                                        ","Idéias & Fatos (FINTEC)","C ",2008
"0104-7876","SOCIOLOGIA                                        ","Ideias (UNICAMP)","B3",2008
"1676-9570","SOCIOLOGIA                                        ","Identidade!","C ",2008
"1070-289X","SOCIOLOGIA                                        ","Identities (Yverdon)","A2",2008
"0265-5012","SOCIOLOGIA                                        ","IDS Bulletin (Brighton. 1984)","A2",2008
"0327-7763","SOCIOLOGIA                                        ","IICE (Buenos Aires)","B2",2008
"1724-4889","SOCIOLOGIA                                        ","Il Dubbio (Roma)","B4",2008
"1517-395X","SOCIOLOGIA                                        ","Ilha. Revista de Antropologia (Florianópolis)","B3",2008
"1413-666X","SOCIOLOGIA                                        ","Imaginário (USP)","B4",2008
"0103-7676","SOCIOLOGIA                                        ","Impulso (Piracicaba)","B2",2008
"1808-8899","SOCIOLOGIA                                        ","Inclusão (Brasília)","C ",2008
"1808-8678","SOCIOLOGIA                                        ","Inclusão Social (Online)","C ",2008
"1070-9371","SOCIOLOGIA                                        ","Indiana English","C ",2008
"0103-3905","SOCIOLOGIA                                        ","Indicadores Econômicos FEE (Impresso)","B3",2008
"1517-669X","SOCIOLOGIA                                        ","Infogeo (Curitiba)","B4",2008
"0100-4409","SOCIOLOGIA                                        ","Informações Econômicas (Impresso)","B5",2008
"1678-832X","SOCIOLOGIA                                        ","Informações Econômicas (Online)","B5",2008
"0101-2568","SOCIOLOGIA                                        ","Informações FIPE (Impresso)","B4",2008
"0539-0184","SOCIOLOGIA                                        ","Information sur les Sciences Sociales (Paris)","A1",2008
"0306-4379","SOCIOLOGIA                                        ","Information Systems (Oxford)","A2",2008
"0046-9459","SOCIOLOGIA                                        ","Informations Sociales (Paris. 1947)","B4",2008
"1517-6940","SOCIOLOGIA                                        ","Insight Inteligência (Rio de Janeiro)","C ",2008
"1518-790X","SOCIOLOGIA                                        ","Integração (Fátima do Sul. Impresso)","C ",2008
"1413-6147","SOCIOLOGIA                                        ","Integração (USJT)","C ",2008
"1807-1260","SOCIOLOGIA                                        ","Intellector (CENEGRI. Online)","B5",2008
"1982-1662","SOCIOLOGIA                                        ","Inter-Legere (UFRN)","B5",2008
"0122-2406","SOCIOLOGIA                                        ","InteraccionInteraccion (Bogotá)","C ",2008
"1518-7012","SOCIOLOGIA                                        ","Interações (UCDB)","B1",2008
"1413-2907","SOCIOLOGIA                                        ","Interações (Universidade São Marcos)","B2",2008
"0102-6453","SOCIOLOGIA                                        ","INTERCOM (São Paulo)","B3",2008
"1676-8701","SOCIOLOGIA                                        ","Interesse Público (Impresso)","C ",2008
"1414-3283","SOCIOLOGIA                                        ","Interface (Botucatu. Impresso)","B1",2008
"1806-9037","SOCIOLOGIA                                        ","Interface (Natal)","B5",2008
"1980-0894","SOCIOLOGIA                                        ","InterfacEHS (Ed. português)","B4",2008
"1980-0908","SOCIOLOGIA                                        ","Interfacehs (English Ed.)","B4",2008
"1519-0994","SOCIOLOGIA                                        ","Interfaces Brasil/Canadá (Impresso)","B3",2008
"1980-5276","SOCIOLOGIA                                        ","Interin (Curitiba)","B3",2008
"1084-0613","SOCIOLOGIA                                        ","International Higher Education (Chestnut Hill, Mass.)","B2",2008
"1861-1303","SOCIOLOGIA                                        ","International Journal of Action Research","A2",2008
"0891-4486","SOCIOLOGIA                                        ","International Journal of Politics, Culture and Society","A1",2008
"1573-3416","SOCIOLOGIA                                        ","International Journal of Politics, Culture and Society (Online)","A1",2008
"2011-0626","SOCIOLOGIA                                        ","International Journal of South American Archeology","A2",2008
"1753-1942","SOCIOLOGIA                                        ","International Journal of Technological Learning, Innovation and Development (Print)","A2",2008
"0147-5479","SOCIOLOGIA                                        ","International Labor and Working Class History","B2",2008
"0192-5121","SOCIOLOGIA                                        ","International Political Science Review","A1",2008
"0020-8523","SOCIOLOGIA                                        ","International Review of Administrative Sciences","A2",2008
"0269-2171","SOCIOLOGIA                                        ","International Review of Applied Economics","A1",2008
"0020-8701","SOCIOLOGIA                                        ","International Social Science Journal (Print)","A1",2008
"0268-5809","SOCIOLOGIA                                        ","International Sociology","A1",2008
"1679-9844","SOCIOLOGIA                                        ","InterScience Place","B4",2008
"1517-6088","SOCIOLOGIA                                        ","Interseções (UERJ)","B2",2008
"1678-2119","SOCIOLOGIA                                        ","Intertexto (Escada)","C ",2008
"1807-1384","SOCIOLOGIA                                        ","INTERthesis (Florianópolis)","B3",2008
"0121-3261","SOCIOLOGIA                                        ","Investigación y Desarrollo (Barranquilla)","B3",2008
"1560-9073","SOCIOLOGIA                                        ","Investigaciones Sociales","B2",2008
"1516-697X","SOCIOLOGIA                                        ","IP (Belo Horizonte)","C ",2008
"0019-0578","SOCIOLOGIA                                        ","ISA Transactions","B2",2008
"1593-5124","SOCIOLOGIA                                        ","Italianieuropei (Roma)","C ",2008
"1677-0919","SOCIOLOGIA                                        ","Itinerários (Brasília)","C ",2008
"0103-815X","SOCIOLOGIA                                        ","Itinerarios (UNESP. Araraquara)","B3",2008
"1983-7666","SOCIOLOGIA                                        ","Itinerarium (Rio de Janeiro. 2008)","B5",2008
"1806-1346","SOCIOLOGIA                                        ","JAM Jurídica (Salvador)","C ",2008
"1318-3222","SOCIOLOGIA                                        ","Javnost (Ljubljana)","A2",2008
"1824-2049","SOCIOLOGIA                                        ","JCOM, Journal of Science Communication","A2",2008
"0103-5835","SOCIOLOGIA                                        ","Jornal de Psicanalise","B5",2008
"1156-0428","SOCIOLOGIA                                        ","Journal des Anthropologues (Montrouge)","B1",2008
"0168-7034","SOCIOLOGIA                                        ","Journal of Consumer Policy","A2",2008
"1326-0219","SOCIOLOGIA                                        ","Journal of Iberian and Latin American Studies","B2",2008
"0022-216X","SOCIOLOGIA                                        ","Journal of Latin American Studies (Print)","A2",2008
"0925-8531","SOCIOLOGIA                                        ","Journal of Logic, Language and Information","B1",2008
"1533-7928","SOCIOLOGIA                                        ","Journal of Machine Learning Research (Online)","A1",2008
"0047-2697","SOCIOLOGIA                                        ","Journal of Political & Military Sociology","A2",2008
"0022-4200","SOCIOLOGIA                                        ","Journal of Religion in Africa (Print)","A2",2008
"0022-4529","SOCIOLOGIA                                        ","Journal of Social History","A2",2008
"0022-4537","SOCIOLOGIA                                        ","Journal of Social Issues (Print)","A1",2008
"0104-6500","SOCIOLOGIA                                        ","Journal of the Brazilian Computer Society (Impresso)","B1",2008
"1806-8634","SOCIOLOGIA                                        ","Jovens Pesquisadores","B5",2008
"1518-4862","SOCIOLOGIA                                        ","Jus Navigandi","C ",2008
"1676-5834","SOCIOLOGIA                                        ","Justiça & História (Impresso)","B5",2008
"0103-5487","SOCIOLOGIA                                        ","Justiça do Trabalho","C ",2008
"1676-7373","SOCIOLOGIA                                        ","Justilex (Brasília)","C ",2008
"0100-512X","SOCIOLOGIA                                        ","Kriterion (UFMG. Impresso)","B2",2008
"0003-8695","SOCIOLOGIA                                        ","L' Architecture d'Aujourd'hui (Cessou em 2007)","B2",2008
"1405-1834","SOCIOLOGIA                                        ","La Colmena","B3",2008
"1126-716X","SOCIOLOGIA                                        ","La Contraddizione (Roma)","C ",2008
"1695-2391","SOCIOLOGIA                                        ","La Insignia (Madrid)","C ",2008
"1646-5237","SOCIOLOGIA                                        ","Laboreal (Porto. Online)","B3",2008
"1676-9651","SOCIOLOGIA                                        ","Labrys (Edição em Português. Online)","B3",2008
"1619-1684","SOCIOLOGIA                                        ","Lateinamerika-Analysen (Cessou em 2008. Cont. ISSN 1866-802X Journal of Politics in Latin America (Print))","B1",2008
"0174-6324","SOCIOLOGIA                                        ","Lateinamerika-Nachrichten","B1",2008
"1744-2222","SOCIOLOGIA                                        ","Latin American and Caribbean Ethnic Studies (Print)","B1",2008
"0094-582X","SOCIOLOGIA                                        ","Latin American Perspectives","A2",2008
"1531-426X","SOCIOLOGIA                                        ","Latin American Politics and Society","A2",2008
"0023-8791","SOCIOLOGIA                                        ","Latin American Research Review","A1",2008
"1981-5921","SOCIOLOGIA                                        ","Latitude (UFAL)","B4",2008
"0458-7251","SOCIOLOGIA                                        ","Le Langage et l'Homme","B3",2008
"1514-3465","SOCIOLOGIA                                        ","Lecturas Educación Física y Deportes (Buenos Aires)","C ",2008
"0871-9497","SOCIOLOGIA                                        ","Legislação (Lisboa. 1991)","C ",2008
"0103-6858","SOCIOLOGIA                                        ","Leitura (UFAL)","B5",2008
"1807-1074","SOCIOLOGIA                                        ","Leonardo (Indaial)","C ",2008
"0961-1215","SOCIOLOGIA                                        ","Leonardo Music Journal","C ",2008
"1807-2836","SOCIOLOGIA                                        ","Leonardo Pós (Santa Catarina)","C ",2008
"0870-6182","SOCIOLOGIA                                        ","Ler História","B1",2008
"1634-9040","SOCIOLOGIA                                        ","Les Cahiers de la Multifonctionnalité","B4",2008
"1807-5193","SOCIOLOGIA                                        ","Letra Magna","C ",2008
"0101-3335","SOCIOLOGIA                                        ","Letras de Hoje","B3",2008
"1678-0531","SOCIOLOGIA                                        ","Liames (UNICAMP)","B3",2008
"1516-2168","SOCIOLOGIA                                        ","Licere (Belo Horizonte. Impresso)","B2",2008
"1808-3536","SOCIOLOGIA                                        ","Liinc em Revista","B4",2008
"1519-4906","SOCIOLOGIA                                        ","Língua e Instrumentos Linguísticos","B3",2008
"1517-7238","SOCIOLOGIA                                        ","Línguas & Letras (UNIOESTE)","B3",2008
"1516-4896","SOCIOLOGIA                                        ","Linhas Críticas (UnB)","B4",2008
"1519-1095","SOCIOLOGIA                                        ","Literal (Campinas)","C ",2008
"1413-3024","SOCIOLOGIA                                        ","Locus (UFJF)","B3",2008
"0313-7430","SOCIOLOGIA                                        ","Logos (Armidale, N.S.W.)","B3",2008
"0104-9933","SOCIOLOGIA                                        ","Logos (UERJ. Impresso)","B3",2008
"1131-6438","SOCIOLOGIA                                        ","Los Complementarios (Madrid)","B4",2008
"0102-6445","SOCIOLOGIA                                        ","Lua Nova (Impresso)","B1",2008
"1415-8604","SOCIOLOGIA                                        ","Lugar Comum (UFRJ)","B5",2008
"0024-7413","SOCIOLOGIA                                        ","Luso-Brazilian Review","A2",2008
"1257-0273","SOCIOLOGIA                                        ","Lusotopie (Paris)","B1",2008
"1980-8100","SOCIOLOGIA                                        ","Lutas & Resistências","B5",2008
"1415-854X","SOCIOLOGIA                                        ","Lutas Sociais (PUCSP)","B4",2008
"1721-9809","SOCIOLOGIA                                        ","M@gm@ (Catania)","B1",2008
"0104-9313","SOCIOLOGIA                                        ","Mana (UFRJ. Impresso)","A1",2008
"1517-0241","SOCIOLOGIA                                        ","Mandrágora (São Bernardo do Campo)","C ",2008
"1806-2121","SOCIOLOGIA                                        ","Marco Social (Rio de Janeiro)","C ",2008
"0103-8915","SOCIOLOGIA                                        ","Margem (PUCSP)","B3",2008
"1678-7684","SOCIOLOGIA                                        ","Margem Esquerda","B3",2008
"1806-0560","SOCIOLOGIA                                        ","Margens (UFPA)","B4",2008
"1028-3889","SOCIOLOGIA                                        ","Marx Ahora","B3",2008
"1984-1590","SOCIOLOGIA                                        ","Massangana (Recife)","C ",2008
"1517-7076","SOCIOLOGIA                                        ","Matéria (UFRJ)","C ",2008
"1414-7165","SOCIOLOGIA                                        ","Matraga (Rio de Janeiro)","B3",2008
"1626-1429","SOCIOLOGIA                                        ","MédiaMorphoses (Bry-sur-Marne)","C ",2008
"1808-3773","SOCIOLOGIA                                        ","Megadiversidade (Belo Horizonte)","B5",2008
"1676-0883","SOCIOLOGIA                                        ","Mercado de Trabalho (Rio de Janeiro. 1996)","B3",2008
"1518-1219","SOCIOLOGIA                                        ","Meridiano 47 (UnB)","B4",2008
"1677-0706","SOCIOLOGIA                                        ","Métis (UCS)","B3",2008
"1665-8906","SOCIOLOGIA                                        ","Migraciones Internacionales","B2",2008
"0995-7367","SOCIOLOGIA                                        ","Migrations Société (Paris)","B2",2008
"1982-6834","SOCIOLOGIA                                        ","Militares e Política (UFRJ)","B3",2008
"1518-0263","SOCIOLOGIA                                        ","Missioneira (Santo Ângelo)","C ",2008
"1679-2904","SOCIOLOGIA                                        ","Missões (Contagem)","C ",2008
"1518-3394","SOCIOLOGIA                                        ","Mneme (Caicó. Online)","C ",2008
"1809-1385","SOCIOLOGIA                                        ","Móin-Móin (UDESC)","B5",2008
"1676-2924","SOCIOLOGIA                                        ","Morpheus (UNIRIO. Online)","C ",2008
"1983-7801","SOCIOLOGIA                                        ","Mosaico (Goiânia)","B3",2008
"0103-4111","SOCIOLOGIA                                        ","Motrivivencia (UFS)","C ",2008
"1518-0344","SOCIOLOGIA                                        ","Movimento (Niterói)","B4",2008
"0104-754X","SOCIOLOGIA                                        ","Movimento (UFRGS. Impresso)","B4",2008
"1679-5970","SOCIOLOGIA                                        ","Múltiplas Faces da Região","C ",2008
"1518-0611","SOCIOLOGIA                                        ","Mundo & Vida (UFF)","B5",2008
"1515-5994","SOCIOLOGIA                                        ","Mundo Agrario (La Plata)","B1",2008
"1677-1451","SOCIOLOGIA                                        ","Mundo Jovem (PUCRS)","C ",2008
"1807-6149","SOCIOLOGIA                                        ","Musas (IPHAN)","B3",2008
"1645-8338","SOCIOLOGIA                                        ","Nada (Lisboa)","B4",2008
"1240-1307","SOCIOLOGIA                                        ","Natures Sciences Sociétés","A2",2008
"1517-2430","SOCIOLOGIA                                        ","Natureza Humana (Cessou em 2008. Cont. ISSN 2175-2834 Natureza Humana (Online))","B3",2008
"1982-8713","SOCIOLOGIA                                        ","Nearco (Rio de Janeiro)","B4",2008
"1981-8866","SOCIOLOGIA                                        ","Neppos. Série Política Social em Debate","C ",2008
